,Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_AgeGroup,Defendant_IndigencyStatus,PriorConvs_Fel,PriorConvs_Misd,PriorFTAConvs,PriorVPRAIViolConvs,PriorVPRAIViolConvs_Fel,PriorVPRAIViolConvs_Misd,WhetherDefendantWasReleasedPretrial,BondTypeAtInitialContact,BondAmountAtInitialContact,ContactEvent_WhetherOffensePunishablebyIncaration,CaseType_MostSerChargeinContactEvent_regardlessofFinalDisp,CurrentCharge_VPRAIViolent,CurrentCharge_PSAViolent,FinalDispositionAllCharges_v1,ImposedSentenceMostSeriousConvictionInContactEvent,VPRAI_TotalPoints_Opt1,VPRAI_RiskLevel_Opt2,VPRAI_TotalPoints_Opt2,VPRAI_RiskLevel_Opt2,VPRAI_PTPlacementRiskLevel,PSA_FTA_TotalPoints,PSA_FTA_RiskLevelScale,PSA_NCA_TotalPoints,PSA_NCA_RiskLevelScale,UnemploymentRate_October2017_BureauofLaborStatistics,GiniIndex,WhiteAlonePercentage_PopulationEstimate_2017_Census,AfricanAmericanAlonepercentage_PopulationEstimate_2017,AsianAlonepercentage_PopulationEstimate_2017_Census,Male_MedianAge_2017Census,Female_MedianAge_2017Census,FollowUp_ArrestedforNewOff,FollowUp_ChargedWithNewFTA,NewArrest_VCC,NewArrest_Type,NewArrest_VCCClassification,NewArrest_Disposition,FollowUp_ArrestedForNewOffPunishableByIncarceration,NewArrestPunishableByIncarceration_Type,FollowUp_NewFelonyArrest,NewFelonyArrest_VCC,NewFelonyArrest_VCCPrefix,NewFelonyArrest_VCCClassification,NewFelonyArrest_Type,NewFelonyArrest_Disposition,FollowUp_NewVPRAIViolentArrest,NewVPRAIViolentArrest_VCC,NewVPRAIViolentArrest_VCCPrefix,NewVaCode297ViolentOff_VCC,NewVaCode297ViolentOff_Disposition,recid
12333,M,W,21,2,0,1,0,0,0,0,0,1,4, ,0,M,0,0,5,0,8,5,9,5, ,4,4,9,6,2.9,.47,81.7,9.8,5.4,37.4,40.4,1,0,OBS3712O4,M,O4,1,0, ,0, , , , , ,0, , , , ,1
12334,M,W,38,4,1,26,2,0,0,0,0,0,1, ,1,F,0,0,3, ,7,4,8,4, ,2,3,5,4,2.9,.47,81.7,9.8,5.4,37.4,40.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12335,M,W,25,2,1,0,1,0,0,0,0,1,3,1500,1,M,1,1,5,3,2,2,3,2, ,1,2,1,2,3.9,.44,92.9,4.7,.3,46.6,49.2,1,0,LIC6809M1,M,M1,1,1,M,0, , , , , ,0, , , , ,1
12336,M,B,55,5,1,0,6,0,1,0,1,1,3,2500,1,M,0,0,5,3,2,2,3,2, ,1,2,2,2,3.7,.42,77.3,18.9,.5,43.6,46.2,1,0,RAP1129F9,F,F9,0,1,F,1,RAP1129F9,RAP,F9,F,0,1,RAP1129F9,RAP,RAP1129F9,0,1
12337,M,B,22,2,1,0,1,0,0,0,0,1,3,2500,1,F,0,0,1, ,5,3,6,3, ,1,2,3,3,3.7,.42,77.3,18.9,.5,43.6,46.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12338,M,W,45,4,1,3,5,0,0,0,0,0,1, ,1,F,0,1,5,192,5,3,6,3, ,3,4,3,3,3.8,.43,78.1,19.2,.3,42,44.7,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12339,M,B,35,3,1,6,1,0,0,0,0,1,2,2500,1,M,0,0,5,0,2,2,3,2, ,1,2,4,3,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12340,M,B,30,3,1,0,0,0,0,0,0,1,2,3000,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12341,M,B,21,2,1,0,2,0,0,0,0,0,2,1000,1,F,0,0,5,6,5,3,6,3, ,1,2,5,4,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12342,M,W,29,3,1,8,16,0,2,0,2,1,2,2000,1,F,0,0,5,12,10,6,11,6,5,2,3,9,6,2.3,.44,75.5,9.5,10.8,34.6,35,1,1,FRD2360F9,F,F9,1,1,F,1,FRD2360F9,FRD,F9,F,1,0, , , , ,1
12343,M,B,23,2,0,0,0,0,0,0,0,1,3,2000,1,F,0,0,5,12,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12344,M,B,22,2,1,0,0,0,0,0,0,1,1, ,1,F,0,0,1, ,3,2,4,2, ,0,1,2,2,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12345,M,W,24,2,0,0,2,0,0,0,0,1,2,4000,1,F,0,0,1, ,5,3,6,3,3,1,2,2,2,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12346,M,W,52,5,0,0,1,0,1,0,1,1,4, ,0,M,0,0,5,0,2,2,3,2, ,2,3,2,2,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12347,M,B,21,2,1,0,1,0,0,0,0,1,1, ,1,F,0,0,5,12,5,3,6,3, ,1,2,3,3,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12348,M,W,33,3,9,12,0,0,0,0,0,1,2,5000,1,S,0,0,3, ,6,4,7,4, ,2,3,6,4,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12349,M,W,21,2,1,0,1,0,1,0,1,1,2,500,1,M,0,0,5,0,6,4,7,4, ,1,2,4,3,3.1,.44,93.3,4.4,.7,43.6,46.6,1,1,LAR2370M9,M,M9,8,1,M,0, , , , , ,0, , , , ,1
12350,M,W,22,2,1,0,0,0,0,0,0,0,1, ,1,F,0,0,5,12.1642710472279,3,2,4,2, ,0,1,2,2,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12351,F,W,21,2,1,0,0,0,0,0,0,1,2,500,1,M,0,0,1, ,0,1,1,1, ,0,1,2,2,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12352,M,W,31,3,1,1,2,0,1,1,0,0,1, ,1,M,0,0,5,12.1642710472279,2,2,3,2, ,2,3,5,4,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12353,M,B,43,4,1,3,3,1,1,0,1,0,1, ,1,F,1,1,5,120,6,4,7,4, ,2,3,5,4,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12354,F,W,51,5,0,1,2,0,0,0,0,1,4, ,0,M,0,0,5,0,2,2,3,2, ,3,4,5,4,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12355,M,W,34,3,9,0,12,0,0,0,0,1,3,1500,1,S,0,0,2, ,2,2,3,2, ,3,4,6,4,3.4,.43,89.7,7.1,1.3,45.6,47.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12356,F,W,37,4,1,2,1,0,1,0,1,1,3,2000,1,M,1,1,5,.985626283367556,6,4,7,4, ,2,3,6,4,3.1,.45,94.3,3.3,.7,46.9,48.6,1,0,COM2961M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
12357,M,W,49,5,99,3,9,1,2,0,2,1,1, ,1,S,0,0,9, ,8,5,9,5, ,5,5,9,6,3.1,.45,94.3,3.3,.7,46.9,48.6, , , , , , , , , , , , , , , , , , , ,0
12358,M,W,20,2,0,0,0,0,0,0,0,1,1, ,1,F,0,1,5,0,5,3,6,3, ,1,2,5,4,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12359,M,W,27,3,1,2,3,0,0,0,0,0,1, ,1,F,0,0,5,24,9,5,10,5, ,1,2,5,4,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12360,M,W,72,7,0,0,0,0,0,0,0,1,3,5000,1,F,0,0,5,0,0,1,1,1, ,0,1,0,1,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12361,M,W,18,2,1,0,0,0,0,0,0,1,1, ,1,M,0,1,5,6,0,1,1,1,1,0,1,2,2,4.8,.44,43,54.8,.7,40.3,48.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12362,M,W,34,3,0,2,3,1,0,0,0,0,1, ,0,S,0,0,1, ,9,5,10,5, ,3,4,7,5,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12363,M,W,33,3,1,2,2,0,0,0,0,1,3,2000,1,S,0,0,5,.328542094455852,4,3,5,3, ,3,4,5,4,5.7,.48,95.9,2.8,.4,45.2,48.9,1,0,DWI5413M1,M,M1,1,1,M,1,VAN2956F6,VAN,F6,F,1,0, , , , ,1
12364,F,W,45,4,9,0,0,0,0,0,0,1,3,1000,1,S,0,0,1, ,0,1,1,1, ,1,2,0,1,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12365,F,W,30,3,1,0,3,0,1,0,1,1,3,1000,1,M,0,0,5,2,4,3,5,3, ,3,4,5,4,4.3,.42,63.2,34.1,.5,41.7,46.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12366,F,W,39,4,0,0,0,0,0,0,0,1,3,2000,1,F,0,0,1, ,0,1,1,1, ,0,1,0,1,3.6,.44,82,14.5,1.1,41.6,44.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12367,F,W,33,3,1,0,2,0,0,0,0,1,2,2500,1,M,0,0,5,3,8,5,9,5, ,2,3,6,4,3.6,.44,82,14.5,1.1,41.6,44.7,1,1,FRD2519F4,F,F4,1,1,F,1,FRD2519F4,FRD,F4,F,1,0, , , , ,1
12368,F,W,34,3,0,0,1,1,0,0,0,1,3,2500,1,F,0,0,5,6,5,3,6,3, ,2,3,1,2,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12369,F,W,35,3,1,0,1,0,1,0,1,1,2,1000,1,M,1,1,1, ,2,2,3,2, ,1,2,2,2,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12370,M,W,73,7,0,0,0,0,0,0,0,1,4, ,1,F,0,0,5,12,0,1,1,1, ,0,1,0,1,3.9,.46,69,28.5,.3,43.7,47.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12371,M,B,19,2,1,0,0,0,0,0,0,1,2,2500,1,F,0,0,5,12,3,2,4,2, ,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12372,M,B,39,4,1,12,19,1,0,0,0,1,2,2500,1,S,0,0,5,12,9,5,10,5, ,3,4,8,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,0,CON3283S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
12373,M,W,28,3,1,12,2,0,0,0,0,1,5, ,1,F,0,0,5,6,5,3,6,3,4,1,2,4,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12374,M,W,19,2,1,0,2,0,0,0,0,1,2,5500,1,M,0,0,5,.328542094455852,2,2,3,2,4,1,2,3,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,0,NAR3020M9,M,M9,1,1,M,0, , , , , ,0, , , , ,1
12375,M,W,58,6,1,0,9,0,3,0,3,1,3,3000,1,M,1,1,2, ,6,4,7,4, ,3,4,8,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12376,M,B,29,3,1,1,5,0,0,0,0,1,1, ,1,F,0,0,5,12,9,5,10,5,5,2,3,7,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12377,M,W,53,5,1,2,11,3,2,0,2,0,2,2500,1,M,0,0,5,3,4,3,5,3, ,2,3,6,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12378,M,B,19,2,0,0,0,0,0,0,0,1,3,2000,1,F,0,0,1, ,3,2,4,2, ,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12379,M,B,19,2,1,0,0,0,0,0,0,1,1, ,1,F,1,1,1, ,0,1,1,1,1,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12380,F,B,21,2,1,0,0,0,0,0,0,1,3,1500,1,F,0,0,5,3,3,2,4,2, ,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12381,M,W,24,2,0,0,1,0,0,0,0,1,1, ,1,F,0,0,5,12,11,6,12,6,3,2,3,4,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12382,M,B,19,2,0,0,0,0,0,0,0,1,3,2000,1,F,0,0,1, ,3,2,4,2, ,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12383,M,B,26,3,1,0,3,1,0,0,0,1,3,1500,1,S,0,0,5,0,6,4,7,4, ,4,4,7,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12384,M,B,25,2,1,3,8,1,0,0,0,0,1, ,1,F,0,0,5,34,9,5,10,5, ,6,5,9,6,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12385,M,W,53,5,0,5,7,1,1,0,1,1,3,1500,1,M,1,1,1, ,2,2,3,2, ,3,4,6,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12386,F,W,73,7,1,0,5,0,0,0,0,1,3,2000,1,M,0,0,1, ,2,2,3,2, ,2,3,1,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12387,M,B,31,3,1,2,14,0,2,0,2,0,1, ,1,F,0,0,5,120,13,6,14,6, ,3,4,8,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12388,F,B,21,2,1,0,5,3,0,0,0,0,1, ,1,F,1,1,1, ,5,3,6,3, ,5,5,7,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12389,F,W,36,4,0,9,2,2,0,0,0,1,1, ,1,F,1,1,1, ,7,4,8,4, ,4,4,5,4,3.8,.39,98.2,.4,.2,47.2,49.1,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12390,F,W,52,5,1,0,0,0,0,0,0,1,3,5000,1,M,0,0,1, ,0,1,1,1, ,0,1,0,1,3.3,.42,79.5,14.9,1.7,38.5,39.7,1,1,PRT5007M1,M,M1,0,1,M,0, , , , , ,1,PRT5007M1,PRT, , ,1
12391,M,W,70,7,0,0,0,0,0,0,0,1,3,2500,1,M,0,0,5,2,0,1,1,1, ,0,1,0,1,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12392,M,W,41,4,1,0,0,0,0,0,0,1,2,1500,1,M,1,0,5,2,0,1,1,1, ,0,1,0,1,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12393,F,W,32,3,1,0,5,2,0,0,0,1,1, ,1,F,0,0,5,60,12,6,13,6, ,3,4,4,3,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12394,M,W,24,2,1,0,0,0,0,0,0,1,3,4000,1,F,0,0,3, ,3,2,4,2, ,0,1,0,1,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12395,M,W,34,3,0,0,0,0,0,0,0,1,2,1500,1,F,0,0,1, ,5,3,6,3, ,2,3,3,3,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12396,M,W,38,4,0,0,8,0,0,0,0,0,1, ,1,F,1,1,5,12,4,3,5,3, ,2,3,6,4,3.9,.43,64.5,32.5,.8,42.1,43.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12397,M, ,35,3,1,0,0,0,0,0,0,1,2,2500,1,M,0,0,1, ,0,1,1,1, ,0,1,0,1,3.9,.43,64.5,32.5,.8,42.1,43.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12398,F,W,58,6,1,3,2,0,0,0,0,1,1, ,1,F,0,0,5,12,5,3,6,3,3,1,2,4,3,4.1,.42,56.9,38.2,1,45.9,47.6,1,0,LAR2359F9,F,F9,0,1,F,1,LAR2359F9,LAR,F9,F,0,0, , , , ,1
12399,M,B,37,4,0,0,2,0,0,0,0,1,4, ,0,M,0,0,5,0,9,5,10,5, ,5,5,5,4,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,OBS3712M4,M,M4,1,0, ,0, , , , , ,0, , , , ,1
12400,F,B,35,3,0,2,1,0,0,0,0,1,2,1500,1,F,0,0,5,12,7,4,8,4,4,2,3,7,5,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12401,F,B,22,2,0,0,0,0,0,0,0,1,3,2500,1,M,0,0,1, ,0,1,1,1, ,0,1,2,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12402,M,W,25,2,0,2,2,0,0,0,0,0,1, ,1,F,0,0,5,120,7,4,8,4, ,4,4,8,5,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12403,F,W,50,5,1,0,3,0,1,0,1,1,2,1000,1,M,0,0,1, ,4,3,5,3, ,2,3,5,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12404,M,B,36,4,1,3,6,1,1,0,1,0,2,48292,1,S,0,0,1, ,7,4,8,4, ,4,4,6,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12405,M,W,26,3,1,0,6,1,0,0,0,1,1, ,0,S,0,0,1, ,7,4,8,4, ,5,5,3,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12406,M,W,33,3,1,0,0,0,0,0,0,1,1, ,1,M,1,1,3, ,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,CON3210S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
12407,F,W,29,3,0,0,2,0,0,0,0,1,3,2500,1,F,0,0,5,.985626283367556,5,3,6,3, ,1,2,1,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12408,M,B,43,4,0,0,0,0,0,0,0,1,1, ,1,F,0,0,3, ,5,3,6,3, ,5,5,5,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12409,M,W,26,3,0,0,5,0,1,0,1,1,4, ,0,M,0,0,5,0,6,4,7,4, ,1,2,4,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12410,F,B,33,3,9,1,10,1,4,0,4,1,1, ,1,F,0,0,5,0,10,6,11,6,4,5,5,10,6,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12411,M,B,29,3,1,0,0,0,0,0,0,1,2,15000,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12412,M,W,38,4,0,0,1,0,0,0,0,1,3,2000,1,M,1,1,1, ,2,2,3,2, ,1,2,1,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12413,M,W,20,2,0,0,1,0,0,0,0,1,2,1500,1,M,0,0,5,0,6,4,7,4, ,1,2,3,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12414,F,B,24,2,1,0,0,0,0,0,0,1,1, ,1,F,0,0,3, ,3,2,4,2, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12415,M,B,24,2,0,0,0,0,0,0,0,1,3,2000,1,F,0,0,5,12,3,2,4,2, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,NAR3032F5,F,F5,0,1,F,1,NAR3032F5,NAR,F5,F,0,0, , , , ,1
12416,F,W,27,3,0,2,5,0,0,0,0,1,1, ,1,F,1,1,5,0,7,4,8,4, ,4,4,5,4,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,OBS3712O4,M,O4,1,0, ,0, , , , , ,0, , , , ,1
12417,M,W,22,2,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,2,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12418,M,W,29,3,9,3,3,1,3,1,2,0,1, ,1,F,0,0,3, ,10,6,11,6, ,3,4,9,6,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12419,M,B,30,3,1,0,0,0,0,0,0,1,3,2000,1,M,0,0,2, ,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,WPN5242F6,F,F6,0,1,F,1,WPN5242F6,WPN,F6,F,0,0, , , , ,1
12420,M,W,77,7,1,0,0,0,0,0,0,1,1, ,1,F,0,0,5,24,3,2,4,2,3,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12421,F,W,41,4,0,0,0,0,0,0,0,1,3,3000,1,F,0,0,5,6,3,2,4,2, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12422,M,A,27,3,0,1,2,0,0,0,0,1,2,2000,1,F,0,0,5,12,5,3,6,3, ,1,2,4,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12423,M,W,22,2,1,1,6,1,0,0,0,0,1, ,1,F,0,0,5,12,12,6,13,6, ,6,5,11,6,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,ASL1313M1,M,M1,0,1,M,0, , , , , ,1,ASL1313M1,ASL, , ,1
12424,M,W,23,2,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12425,M,B,32,3,0,0,1,0,0,0,0,1,2,1000,1,F,1,1,1, ,2,2,3,2,1,2,3,4,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12426,M,B,19,2,1,0,2,0,0,0,0,1,1, ,1,F,0,0,5,12,8,5,9,5, ,6,5,8,5,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12427,M,W,35,3,0,0,0,0,0,0,0,1,3,1000,1,M,1,1,1, ,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12428,M,W,32,3,1,0,2,1,0,0,0,1,2,8000,1,F,0,0,3, ,7,4,8,4, ,3,4,4,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12429,M,B,29,3,1,0,4,0,3,0,3,1,1, ,1,F,1,1,5,12,3,2,4,2,2,2,3,5,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12430,F,B,53,5,0,0,1,0,0,0,0,1,2,1500,1,F,0,0,5,12,5,3,6,3, ,1,2,1,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12431,M,W,26,3,1,1,6,0,3,0,3,1,3,2500,1,F,0,0,3, ,6,4,7,4, ,1,2,6,4,2.8,.42,65.2,10.4,20,37.3,39.2,1,1,TRS5709M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
12432,M,B,60,6,1,11,10,0,4,1,3,1,1, ,1,F,0,0,5,24,8,5,9,5,3,2,3,6,4,2.9,.42,87.4,7.7,1.7,40.6,42.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12433,M,W,42,4,1,0,5,0,1,0,1,1,2,500,1,S,0,0,5,3,2,2,3,2, ,1,2,4,3,2.9,.42,87.4,7.7,1.7,40.6,42.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12434,F,W,33,3,1,0,1,0,0,0,0,1,2,500,1,S,0,0,5,3,6,4,7,4, ,1,2,1,2,2.9,.42,87.4,7.7,1.7,40.6,42.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12435,F,W,56,6,0,0,3,1,0,0,0,1,2,500,1,S,0,0,5,3,8,5,9,5, ,4,4,5,4,2.9,.42,87.4,7.7,1.7,40.6,42.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12436,M,W,40,4,0,1,2,1,0,0,0,1,4, ,0,M,0,0,5,0,2,2,3,2, ,2,3,4,3,3.5,.44,89.4,8.1,.5,46.7,48,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12437,F,B,35,3,1,0,1,1,0,0,0,1,3,1000,1,M,1,1,5,.492813141683778,3,2,4,2, ,2,3,1,2,3.5,.44,89.4,8.1,.5,46.7,48,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12438,M,W,36,4,1,0,5,1,2,0,2,0,1, ,0,S,0,0,1, ,7,4,8,4, ,1,2,4,3,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12439,M,W,59,6,1,0,0,0,0,0,0,1,3,2500,1,F,0,0,3, ,3,2,4,2, ,0,1,0,1,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
12440,M,W,31,3,0,0,0,0,0,0,0,1,3,3500,1,S,0,0,1, ,0,1,1,1, ,0,1,0,1,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
